"","site_id","CellName","Quadrant","detector_model","detector_type","night","spp","n_calls","legacy_model","site_night"
"57","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYCI",0,"SM2","Castlegar_NE|2025-06-19"
"58","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYEV",0,"SM2","Castlegar_NE|2025-06-19"
"59","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYLU",13,"SM2","Castlegar_NE|2025-06-19"
"60","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYSE",1,"SM2","Castlegar_NE|2025-06-19"
"61","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYTH",0,"SM2","Castlegar_NE|2025-06-19"
"62","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYVO",0,"SM2","Castlegar_NE|2025-06-19"
"63","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"MYYU",0,"SM2","Castlegar_NE|2025-06-19"
"64","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-19,"PAHE",0,"SM2","Castlegar_NE|2025-06-19"
"65","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"ANPA",0,"SM2","Castlegar_NE|2025-06-20"
"66","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"COTO",0,"SM2","Castlegar_NE|2025-06-20"
"67","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"EPFU",0,"SM2","Castlegar_NE|2025-06-20"
"68","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"EUMA",0,"SM2","Castlegar_NE|2025-06-20"
"69","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"LABO",0,"SM2","Castlegar_NE|2025-06-20"
"70","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"LACI",0,"SM2","Castlegar_NE|2025-06-20"
"71","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"LANO",0,"SM2","Castlegar_NE|2025-06-20"
"72","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYCA",0,"SM2","Castlegar_NE|2025-06-20"
"73","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYCI",0,"SM2","Castlegar_NE|2025-06-20"
"74","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYEV",0,"SM2","Castlegar_NE|2025-06-20"
"75","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYLU",0,"SM2","Castlegar_NE|2025-06-20"
"76","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYSE",0,"SM2","Castlegar_NE|2025-06-20"
"77","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYTH",0,"SM2","Castlegar_NE|2025-06-20"
"78","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYVO",1,"SM2","Castlegar_NE|2025-06-20"
"79","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"MYYU",0,"SM2","Castlegar_NE|2025-06-20"
"80","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-20,"PAHE",0,"SM2","Castlegar_NE|2025-06-20"
"81","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"ANPA",0,"SM2","Castlegar_NE|2025-06-21"
"82","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"COTO",0,"SM2","Castlegar_NE|2025-06-21"
"83","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"EPFU",0,"SM2","Castlegar_NE|2025-06-21"
"84","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"EUMA",0,"SM2","Castlegar_NE|2025-06-21"
"85","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"LABO",0,"SM2","Castlegar_NE|2025-06-21"
"86","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"LACI",0,"SM2","Castlegar_NE|2025-06-21"
"87","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"LANO",0,"SM2","Castlegar_NE|2025-06-21"
"88","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYCA",0,"SM2","Castlegar_NE|2025-06-21"
"89","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYCI",0,"SM2","Castlegar_NE|2025-06-21"
"90","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYEV",0,"SM2","Castlegar_NE|2025-06-21"
"91","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYLU",1,"SM2","Castlegar_NE|2025-06-21"
"92","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYSE",0,"SM2","Castlegar_NE|2025-06-21"
"93","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYTH",0,"SM2","Castlegar_NE|2025-06-21"
"94","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYVO",0,"SM2","Castlegar_NE|2025-06-21"
"95","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"MYYU",0,"SM2","Castlegar_NE|2025-06-21"
"96","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-21,"PAHE",0,"SM2","Castlegar_NE|2025-06-21"
"97","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"ANPA",0,"SM2","Castlegar_NE|2025-06-22"
"98","Castlegar_NE","Castlegar","NE","SM2","Other_FS",2025-06-22,"COTO",0,"SM2","Castlegar_NE|2025-06-22"
