site_id,CellName,Quadrant,detector_model,detector_type,paired_detector,night,sppWA,n_calls,site_night
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,COTO,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,EPFU,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,EUMA,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,LABO,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,LACI,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,LANO,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYCA,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYCI,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYEV,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYLU,2,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYSE,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYTH,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYVO,1,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,MYYU,1,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-20,PAHE,0,Castlegar_NE|2025-06-20
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,ANPA,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,COTO,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,EPFU,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,EUMA,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,LABO,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,LACI,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,LANO,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYCA,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYCI,1,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYEV,1,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYLU,4,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYSE,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYTH,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYVO,2,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,MYYU,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-21,PAHE,0,Castlegar_NE|2025-06-21
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,ANPA,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,COTO,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,EPFU,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,EUMA,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,LABO,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,LACI,4,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,LANO,3,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYCA,1,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYCI,2,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYEV,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYLU,11,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYSE,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYTH,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYVO,1,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,MYYU,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-22,PAHE,0,Castlegar_NE|2025-06-22
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,ANPA,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,COTO,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,EPFU,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,EUMA,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,LABO,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,LACI,8,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,LANO,1,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYCA,2,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYCI,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYEV,3,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYLU,6,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYSE,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYTH,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYVO,2,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,MYYU,1,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-23,PAHE,0,Castlegar_NE|2025-06-23
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,ANPA,3,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,COTO,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,SM2,Other_FS,Chorus,2025-06-16,EPFU,1,Castlegar_NE|2025-06-16
